name,release_date,price,positive,negative,app_id,min_owners,max_owners,hltb_single
Train Bandit,2017-10-12,0.99,53,5,655370,0,20000,
Henosis™,2020-07-23,5.99,3,0,1355720,0,20000,
Two Weeks in Painland,2020-02-03,0.0,50,8,1139950,0,20000,
Wartune Reborn,2021-02-26,0.0,87,49,1469160,50000,100000,
TD Worlds,2022-01-09,10.99,21,7,1659180,0,20000,
MazM: Jekyll and Hyde,2020-04-02,14.99,76,6,1178150,0,20000,7.0
Deadlings: Rotten Edition,2014-11-11,3.99,225,45,320150,50000,100000,4.0
WARSAW,2019-10-02,23.99,589,212,1026420,20000,50000,5.0
Cthulhu Realms,2016-07-01,0.0,147,58,485000,50000,100000,3.0
Clockwork Dungeon,2021-08-27,1.99,5,0,1620060,0,20000,
Royal Battleships,2018-04-06,2.99,36,11,825930,20000,50000,
Diary of Lucie,2020-11-25,12.99,100,5,1454010,0,20000,
Hunting Unlimited 3,2020-11-06,9.99,17,0,1330820,0,20000,
Hero of the Kingdom II,2015-02-20,7.99,2046,120,346560,100000,200000,5.0
KHIO,2020-07-24,9.99,3,1,1362670,0,20000,
Steam Squad,2016-07-28,17.99,61,29,290870,20000,50000,
Project: R.E.B.O.O.T 2,2017-01-27,2.99,29,28,575760,20000,50000,6.0
Aerofly FS 2 Flight Simulator,2017-11-20,37.49,1490,408,434030,100000,200000,
Turtle Lu,2018-03-22,2.99,4,10,810740,20000,50000,
Kanjozoku Game レーサー,2022-07-16,5.99,392,57,2073470,20000,50000,
PowersVR,2020-10-10,9.99,37,22,589250,0,20000,
Draw Your Game,2017-08-10,4.99,18,50,677880,20000,50000,
Pathfinders: Memories,2021-02-16,2.99,38,4,1294780,0,20000,
Bright Days in Quarantine,2020-07-18,1.99,24,5,1342850,0,20000,
Dupio,2018-03-06,11.99,23,18,793990,0,20000,
Terror In The Atomic Desert,2019-03-22,2.99,8,4,955490,0,20000,
Unhappy Ever After,2017-01-20,0.99,16,10,552350,20000,50000,
March Of Soldiers,2020-07-01,1.99,1,0,1195610,0,20000,
Bepuzzled Kittens Jigsaw Puzzle,2019-06-11,1.99,7,2,1095380,0,20000,
Dream Detective,2019-12-04,7.99,16,8,1158910,0,20000,
Tower of Shades,2020-01-15,1.99,35,8,1194940,0,20000,
Vanguard Princess,2014-03-03,2.49,2014,841,262150,200000,500000,1.0
IRON REBELLION,2021-11-09,11.99,168,39,1192900,50000,100000,
Treasures of the Ancients: Egypt,2018-06-06,0.99,55,91,866150,50000,100000,
Deadfall Adventures,2013-11-15,19.99,1716,628,231330,100000,200000,7.0
Reigns: Game of Thrones,2018-10-18,3.99,698,203,897820,50000,100000,2.0
CasinoRPG,2018-01-16,0.0,138,84,658970,50000,100000,
Fuyu no Tsuma,2021-10-15,1.99,2,2,1777550,0,20000,
Far Cry® 5,2018-03-26,59.99,100620,25286,552520,2000000,5000000,18.0
Loot Collection: Mahjong,2017-10-05,0.55,2,3,718350,20000,50000,
INFERNO CLIMBER,2016-09-08,14.99,60,46,433450,0,20000,47.0
Grim Tales: The Heir Collector's Edition,2021-07-30,9.99,7,1,1709450,20000,50000,
Mythos Ever After: A Cthulhu Dating Sim,2020-10-28,4.99,1,0,1431470,0,20000,
A Journey Through Valhalla,2021-09-12,5.99,3,3,763550,0,20000,
COUNTDOWN,2021-01-10,0.99,6,1,1445370,0,20000,
Colours of Magic: Aqua Teeter,2016-04-25,0.99,69,17,464230,20000,50000,1.0
Forza Horizon 4,2021-03-09,59.99,122539,15095,1293830,2000000,5000000,13.0
Viking Warrior,2021-01-19,3.99,2,17,1509640,0,20000,
不可思议佣兵团,2019-10-03,3.99,6,4,1135380,0,20000,
Square Keeper,2022-06-09,4.99,10,0,1944730,0,20000,
Pension Day,2019-09-03,0.99,0,1,1144900,20000,50000,
Slipstream 5000,2015-10-09,2.99,283,92,306350,200000,500000,1.0
100 Doors: Escape from Work,2022-03-01,9.99,7,2,1684530,0,20000,
Project MIKHAIL: A Muv-Luv War Story,2021-11-01,19.99,328,253,1557480,20000,50000,
Rezist: Tower Defense,2019-09-26,0.99,8,0,1128520,0,20000,
Black Mansion,2021-06-15,6.99,1,0,1647430,20000,50000,
Mirrorama,2022-01-12,7.49,17,0,1845050,0,20000,
Carrier Battles 4 Guadalcanal - Pacific War Naval Warfare,2020-06-05,29.99,180,27,1163340,0,20000,
Sally Face - Episode One,2016-12-14,2.99,11739,367,541570,500000,1000000,9.0
Crimson Spires,2020-10-27,19.99,51,6,1292520,0,20000,16.0
Endline,2021-03-29,4.99,1,0,1467330,0,20000,
Realms VR,2021-09-30,4.24,7,2,1624600,0,20000,
AmazeD 3D,2018-07-14,0.0,4,6,870000,0,20000,
